Band	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Jay Tea												1											
Jeffree Star														1	1								
Jet Lag Gemini														1	1								
Jimmy Eat World								1															
Jimmy 2 Times			1																				
Joan Jett and the Blackhearts												1											
The Johnstones												1	1	1									
The Jukebox Romantics																		1					
Jule Vera																					1		1
The Juliana Theory							1																
Juliet Simms																			1		1		
Jumping Monks									1	1													
June												1											
June Divided																		1					
The Junior Varsity											1	1											
Just Surrender														1									
Jurassic 5							1																
Justina																		1					
K.Flay																				1			
K-os													1										
Kaddisfly													1										
Kairo Kingdom																			1				
Karate High School												1	1										
The Karma Killers																					1		
Katy Perry														1									
Kaya Stewart																					1		
The Kenneths																					1		
Kid Rock				1																			
Killswitch Engage													1										
Kiros											1												
Knocked Loose																							1
The Know How[29]						1	1	1	1		1												
Knuckle Puck																					1	1	
Koji																		1			1		
Koo Koo Kanga Roo																					1		
Kool Keith							1																
Kosha Dillz																					1		
Kottonmouth Kings						1																	
L7	1																						
Lagwagon			1					1															
Large Marge										1													
Larry And His Flask																	1						
Lars Frederiksen and the Bastards										1													
Last Great Assault														1									
Latex Generation			1	1																			
L.E.S. Stitches				1																			
Le Castle Vania																					1		
Lee Corey Oswald																					1		
Less Than Jake			1		1		1		1			1			1		1			1		1	
The Letters Organize											1												
Letter Kills										1													
Life on the Sideline																				1			
LIGHTS																1							
Like Moths to Flames																			1				
Like Pacific																						1	
Lillix								1															
Limp Bizkit			1																				
Linkin Park																				1			
Lionize																	1			1			
Lionz of Zion																			1				
The Living End					1		1					1											
Living With Lions																		1					
Long Beach Dub All-Stars						1	1																
Longway															1								
Look What I Did													1										
The Lordz														1									
Loser's Luck										1	1												
The Lost Boys																				1			
Lost In Atlantis																			1				
Lost In Society																		1		1			
Lost Point														1									
Lostprophets																		1					
Love Equals Death											1	1		1									
Lucero																	1						
Luckie Strike						1	1	1															
Ludo												1	1	1									
Lunachicks						1																	
M4Sonic																					1		
Mac Lethal																			1				
Machine Gun Kelly																		1					
Machree																	1						
Macy Kate																					1		
Mad Caddies				1					1														
Madcap							1																
Madchild																			1				
Madina Lake														1	1		1						
Mae										1	1												
The Maine													1	1	1					1		1	
Major League																					1		
Make Do and Mend																		1					
Mallory Knox																					1		
Man Overboard																		1	1		1		
Manic Hispanic								1					1										
Manic Sewing Circle												1	1										
Marina City																						1	
Marissa Mishelle														1									
Marmozets																				1			
Masked Intruder																						1	
Massive Monkees														1									
Matchbook Romance									1		1										1		
The Matches										1	1		1										
Matisyahu														1									
Matt Toka																		1					
Mayday Parade													1	1		1		1		1		1	
Maylene & The Sons Of Disaster													1	1									
MC Chris													1	1						1			
MC Lars																			1		1		
MC Lars with Weerd Science																	1	1					
Medium Troy														1									
Me First and the Gimme Gimmes							1		1														
Me Like Bees																				1			
Meg & Dia													1		1								
Meghann Wright																					1		
Memphis May Fire																		1	1		1		1
The Menzingers																	1						
Mestmothe									1		1								1				
Metro Station																					1		
MewithoutYou												1											
M.I.A.														1									
Microwave																							1
Middleground								1															
Middle Class Rut																	1						
Middle Finger Salute														1	1				1				
Midnight To Twelve														1									
Midtown							1		1														
MI6								1															
The Mighty Mighty Bosstones		1	1			1		1															
Mighty Mongo																		1	1				
Mike Posner																1							
Mike Watt + The Missingmen														1									
Millencolin			1			1					1												
Millionaires															1								
Miracle Dolls														1									
The Misfits							1																
Miss May I																	1	1			1		
Mixtapes																			1	1			
Mo Bigsley														1									
Mod Sun																		1		1	1		
Moe Pope														1									
Mojo Morgan																	1						
Molotov					1																		
Moments in Grace										1													
Moneen												1											
Montage																							1
Monty are I													1		1								
Moose Blood																					1		
More To Monroe																						1	
Morgan Heritage						1																	
Mother Feather																						1	
Motion City Soundtrack								1	1	1	1	1		1	1	1			1		1		
Motionless in White												1	1	1		1	1	1		1		1	
Movements																							1
The Movielife								1															
Moving Mountains																	1						
The Muffs						1																	
Municipal Waste																							1
Murder City Devils			1																				
Mushroomhead		1																					
Mutemath												1											
MxPx				1		1		1			1		1										
My American Heart											1		1										
My Arcadia																	1						
My Chemical Romance										1	1												
Naked Walrus																				1			1
The Narrative																	1						
Near Miss											1												
Neck Deep																				1	1	1	1
Neo Geo																	1	1					
N.E.R.D								1															
Never Shout Never																1			1		1		1
New Beat Fund																			1		1		
New Empire																			1				
New Found Glory							1	1		1			1					1				1	
The New Low																						1	
The New Sincerity												1											
New Years Day													1				1		1		1		1
Night Argent																					1	1	
Night Riots																					1		
NiT GriT																				1			
No Bragging Rights																			1				
No Doubt	1					1																	
NOFX		1		1		1		1		1		1			1								
No Man's Land									1	1													
Nonpoint											1												
Norma Jean													1	1									
No Use for a Name	1			1				1			1												
Nothington													1										
Now On														1									
Obtik							1																
Oceana														1									
Oceans Ate Alaska																						1	
Of Mice & Men																1	1	1		1			
The Offspring											1												
Oh No Fiasco																		1					
Oh, Sleeper																			1				
Old Wounds																						1	
On The Surface														1									
Onward, Etc.																					1		
Oneyedjacks											1												
One Last Shot																							1
One Minute Silence						1																	
One Ok Rock																				1			
Only Crime													1										
Orange 9mm	1		1																				
Ore Ska Band														1									
Othello														1									
Our Last Night																					1		1
Outasight																			1				
Over It										1	1	1											
Owen Plant																		1					
Ozma								1															
P.O.S															1								
Pacific Dub																			1	1			
Paige Wood														1									
Palaye Royale																						1	
Panima														1									
Papa Roach						1																	
Paramore											1	1	1	1	1		1						
Parkway Drive													1			1				1			
Passafire																	1						
Patent Pending														1									
Pathway To Providence												1											
Pato														1									
Peelander-Z																	1						
Pendleton													1										
Pennywise		1	1		1		1		1				1	1		1							
Pepper										1			1				1					1	
Permanent Bastards																	1						
Peter DiStefano														1									
Phathom												1	1	1	1								
The Photo Atlas													1										
Pierce the Veil														1		1		1			1		
Pietasters				1																			
The Pinker Tones														1									
The Pink Slips																						1	
The Pink Spiders												1		1									
Piotta														1									
Pistolita												1	1										
Places And Numbers																	1						
Plague Vendor																				1			
Plain White T's											1	1											
Planet Smashers																	1						
Playboy Manbaby																							1
PlayRadioPlay													1										
Poison the Well									1				1										
Polar Bear Club																		1					
Pour Habit																	1						
Preston											1												
The Pretty Reckless																1							
Prof																						1	
Protest The Hero												1	1	1									
The Protomen																				1			
Psycho White																			1				
Psychotic 4												1											
Pull The Pin														1									
PVRIS																			1	1	1	1	
Quarashi								1															
Quicksand	1																						
Railroad To Alaska																	1						
Rancid				1			1		1														
The Randies														1									
Rapid Decline																	1						
RDGLDGRN																			1				
The Ready Set																	1			1			
Real Friends																			1	1		1	
Real McKenzies													1										
The Receiving End of Sirens											1												
Reckless Serenade																						1	
The Recovering														1									
Red Car Wire														1									
Red Five		1																					
The Red Jumpsuit Apparatus											1	1	1										
Reel Big Fish			1					1						1	1	1			1			1	
Reggie and the Full Effect											1												
Relient K											1			1			1		1				
Remsa 'n Event													1										
Rev 9									1														
Reverend Horton Heat				1																			
Revolution Mother													1	1									
Rise Against										1		1		1				1					
Rise To Remain																		1					
The Riverboat Gamblers											1												1
River City Extension																	1						
Roam																						1	
Rocket from the Crypt		1																					
The Rocket Summer													1			1							
Roger Miret and the Disasters											1												
Rollins Band							1																
Roses Are Red										1	1												
Royal Crown Revue				1																			
Rufio										1	1												
Run DMT																			1				
Rx Bandits								1															
Ryan Cassata																			1				
Safe To Say																						1	
Saint Alvia														1									
The Salads										1	1	1	1										
Sammy Adams																							1
